CIDADE,UF,ENTIDADE,ENDEREÇO,CONTATO,TIPO,,,TIPOS,
Maringá,PR,Smartfit MARINGÁ,"Av Advogado Horacio Raccanello Filho, 5120/ Loja 32",,Musculação,1,,,
Maringá,PR,Studio Corpus Academia,"Av Mauá, 1.235, esquina com R. Guararapes, 19",(44) 3354-1005 (44) 9990-4704,Musculação,1,,,
Paranaguá,PR,Nice Academia,"R Conselheiro Correia, 732",(41) 3422-2280,Musculação,1,,,
Angra dos Reis,RJ,Angra dos Reis Marina Clube,"Condominio Marinas, mapa: http://www.armclube.com.br/portal/?page_id=84",(24) 3365-0444,Musculação,1,,,
Cabo Frio,RJ,Universidade Veiga de Almeida,"Estrada das Perynas, S/N",,Musculação,1,,,
Duque de Caxias,RJ,Smartfit DUQUE DE CAXIAS 2,"Av P Professor Jose de Souza Herdy, 1216/ 235 (Shopping Unigranrio)",,Musculação,1,,,
Nilópolis,RJ,CrossFit Nilópolis,"Rua Patú, 54 - Brás de Pina",(21) 2485-3716,CrossFit,1,,,
Niterói,RJ,A7 Crossfit,"Av Sete de Setembro, 321/ Loja 101 - Icaraí",(21) 3254-5304,CrossFit,1,,,
Niterói,RJ,Academia Tio Sam (Icaraí),"Praia de Icaraí, 63, cobertura",(21) 2620-3132,aula coletiva,1,,,
Niterói,RJ,Crossfit Lendários,"R Professor Florestan Fernandes, 1.625 - Camboinhas",,CrossFit,1,,,
,RJ,CrossFit Niterói,Estrada Francisco da Cruz Nunes 8455,(21) 3254-9460,CrossFit,1,,,
Niterói,RJ,Crossfit Troia,"Rua João Pessoa, 20 - Icaraí",(21) 3492-3667,CrossFit,1,,,
Niterói,RJ,Galpão Crossfit,"R Presidente Backer, 246 - Icaraí",(21) 3628-6969,CrossFit,1,,,
Nova Friburgo,RJ,Hard Core Funcional,"R José Tessarollo dos Santos, 63 - Centro",(22) 3066-1330,Musculação,1,,,
Rio de Janeiro,RJ,Academia do Fórum,"Av Erasmo Braga, 115 Lamina II - Centro",(21) 2588-3463,Musculação,1,,,
Rio de Janeiro,RJ,Academia Estética,"Av Conego Vasconcelos, 992 - Bangu",(21) 3159-7420,Musculação,1,,,
Rio de Janeiro,RJ,Academia KS,"Av Armando Lombardi, 663 - Barra da Tijuca",(21) 2494-2540,aula coletiva,1,,,
Rio de Janeiro,RJ,Academia Pro Combat,"R Professor Gonçalves, 126 - Campo Grande",(21) 3586-2311,Musculação,1,,,
Rio de Janeiro,RJ,Academia Team Nogueira,"R São Francisco de Assis, 486/ C 1-2 - Recreio",(21) 3281-6020,Musculação,1,,,
Rio de Janeiro,RJ,Academia Vibração,"R Desmons, 320 - Coelho Neto",,Musculação,1,,,
Rio de Janeiro,RJ,Bio Ritmo Metropolitano,Av Embaixador Abelardo Bueno (Shopping Metropolitano Barra) - Piso L1,(21) 3095-9075,Musculação,1,,,
Rio de Janeiro,RJ,Body Planet Fitness,"Estrada da Gabinal, 500 - Jacarépagua",(21) 3687-1000,Musculação,1,,,
Rio de Janeiro,RJ,Body Tech - Unidade Cittá América,"Av das Américas, 700 - 1º Piso - Barra da Tijuca",(21) 2132-7222,CrossFit,1,,,
Rio de Janeiro,RJ,Body Tech - Unidade Recreio,"Av Salvador Allende, 6700 / LJ 125 E 131 - Recreio",(21) 2536-3700,Musculação,1,,,
Rio de Janeiro,RJ,Botafogo de Futebol e Regatas,"R Epitácio Pessoa, 1.561 - Lagoa",(21) 2539-9985,Clube de Remo,1,,,
Rio de Janeiro,RJ,Cia Athletica Barra,"Av das Americas, 5000 - Loja 112 e 113 - Barra da Tijuca",(21) 3505-0000,CrossFit,1,,,
Rio de Janeiro,RJ,Clinimex,"R Siqueira Campos, 93 - Sala 101 a 103 - Copacabana",(21) 2256-7183,Musculação,1,,,
Rio de Janeiro,RJ,Clube de Regatas do Flamengo,"R Borges de Medeiros, 1.111 - Lagoa",(21) 2529-0119,Clube de Remo,1,,,
Rio de Janeiro,RJ,Clube de Regatas Vasco da Gama,"R Tarso Fragoso, 65 - Lagoa",(21) 2156-3939,Clube de Remo,1,,,
Rio de Janeiro,RJ,Clube dos Caiçaras,"Av Epitácio Pessoa, S/N  Ilha dos Caiçaras - Ipanema",(21) 2529-4831,Musculação,1,,,
Rio de Janeiro,RJ,Crossfit Ilha [do Governador],"Praia Jequiá, 31 - Ribeira",(21) 3298-9867,CrossFit,1,,,
